Subject,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,Language_Task_Acc,Language_Task_Median_RT,Language_Task_Story_Acc,Language_Task_Story_Median_RT,Language_Task_Story_Avg_Difficulty_Level,Language_Task_Math_Acc,Language_Task_Math_Median_RT,Language_Task_Math_Avg_Difficulty_Level
100206,113.546,103.4441,119.8914,117.0361,96.875,3208.0,100.0,3020.75,9.071,93.75,3395.25,1.964
100307,111.07,98.73,107.2,96.81,80.417,3463.375,87.5,3144.0,9.607,73.333,3782.75,2.893
100408,131.81,125.64,134.24,132.63,97.222,3664.0,100.0,3612.5,10.482,94.444,3715.5,3.107
100610,141.3166,132.4124,140.8151,146.5971,100.0,3540.25,100.0,3238.75,12.446,100.0,3841.75,3.107
101006,113.5374,101.1697,95.42348,69.45302,83.611,3414.25,83.333,3048.0,11.393,83.889,3780.5,1.571
101107,119.2434,112.9757,119.8459,116.9699,82.917,4081.375,87.5,4045.75,10.321,78.333,4117.0,3.036
101309,106.9173,92.68638,123.3551,121.3679,91.667,3873.25,100.0,3490.5,9.375,83.333,4256.0,1.964
101410,113.5714,101.2901,112.2394,99.97051,81.25,3589.0,75.0,3375.75,11.714,87.5,3802.25,1.25
101915,120.95,113.58,121.63,113.17,88.125,3626.75,87.5,3383.25,11.518,88.75,3870.25,1.321
102008,128.1398,123.9263,124.8017,123.7913,87.5,3659.625,87.5,3402.0,9.893,87.5,3917.25,1.964
102109,115.1095,106.2624,122.3403,119.7597,85.0,3847.125,100.0,3625.0,8.232,70.0,4069.25,1.964
102311,110.8,98.26,116.52,112.16,80.0,4135.25,100.0,4202.0,6.304,60.0,4068.5,3.107
102513,124.8705,118.5772,121.2287,112.5362,81.944,3393.125,75.0,3252.75,10.75,88.889,3533.5,1.821
102614,106.7909,92.45191,112.6225,107.1083,100.0,3270.5,100.0,3147.0,12.571,100.0,3394.0,3.107
102715,121.6283,116.2795,124.4154,123.2858,96.875,3697.5,100.0,3628.25,12.286,93.75,3766.75,3.107
103010,115.394,106.7579,105.4383,93.02147,89.167,4225.875,83.333,4126.25,11.679,95.0,4325.5,2.536
103111,118.7641,110.2203,123.1029,114.8949,94.722,3424.75,100.0,3150.5,11.518,89.444,3699.0,3.107
103212,127.1703,121.4059,124.138,117.5293,90.625,3299.5,100.0,3319.25,12.286,81.25,3279.75,3.107
103414,111.35,99.07,108.83,99.8,90.972,3875.0,87.5,3764.0,10.607,94.444,3986.0,2.607
103515,87.66,67.27,102.58,87.36,80.227,3297.375,100.0,2801.75,6.5,60.455,3793.0,1.964
103818,120.49,112.95,130.89,128.16,86.667,3795.375,100.0,3418.25,10.107,73.333,4172.5,3.107
104012,102.5179,86.4437,107.49,97.16158,63.333,3498.0,75.0,3259.0,8.536,51.667,3737.0,1.571
104416,128.4841,122.4943,124.514,118.1042,94.375,3472.25,100.0,3135.75,11.661,88.75,3808.75,1.964
104820,103.5371,86.05419,99.55872,76.44249,81.944,3296.125,75.0,3157.25,10.339,88.889,3435.0,1.321
105014,130.17,125.99,115.13,110.52,97.5,3124.125,100.0,2892.0,11.929,95.0,3356.25,1.964
105115,119.17,111.07,121.81,113.4,94.375,3256.75,100.0,2832.75,11.786,88.75,3680.75,1.964
105216,125.67,121.59,126.21,126.51,100.0,2584.625,100.0,2762.5,12.571,100.0,2406.75,1.964
105620,125.504,119.3408,120.2309,111.403,95.0,3288.125,100.0,3086.25,10.607,90.0,3490.0,3.107
105923,129.6218,123.7607,114.8966,103.9747,85.417,3628.5,87.5,3649.5,9.179,83.333,3607.5,2.893
106016,117.37,108.15,115.38,104.75,91.25,3327.125,100.0,3066.5,10.964,82.5,3587.75,3.107
106319,131.75,127.66,126.34,126.74,92.5,3587.25,100.0,3352.75,9.839,85.0,3821.75,1.964
106521,135.9465,130.3199,125.0447,124.2095,100.0,4014.25,100.0,3941.0,11.929,100.0,4087.5,3.107
106824,119.5151,113.3487,123.0852,120.7369,88.125,3398.625,87.5,3049.25,11.536,88.75,3748.0,2.464
107018,120.6881,114.7943,121.8928,119.3654,91.944,3294.125,100.0,3025.75,11.25,83.889,3562.5,1.964
107220,122.0843,117.1965,122.9939,120.5509,95.0,3295.5,100.0,3055.0,11.0,90.0,3536.0,2.5
107321,123.78,118.84,128.4,130.2,96.429,3408.0,100.0,3025.5,12.161,92.857,3790.5,3.107
107422,134.8629,129.8786,133.0329,134.2571,93.75,3269.375,100.0,2954.75,12.143,87.5,3584.0,3.107
107725,107.0862,91.00412,99.54417,76.41906,86.136,3622.375,100.0,3267.5,8.036,72.273,3977.25,1.964
108020,110.5715,97.84483,115.7674,111.3834,96.875,3392.75,100.0,3158.75,12.0,93.75,3626.75,3.107
108121,113.59,103.64,117.21,113.17,77.639,3448.75,87.5,2882.0,9.321,67.778,4015.5,2.893
108222,124.2336,117.8864,127.3699,122.2386,91.667,3378.0,100.0,3260.5,10.875,83.333,3495.5,3.107
108323,115.11,106.27,111.61,105.76,90.972,3288.75,87.5,2997.0,11.732,94.444,3580.5,1.964
108525,103.24,87.07,106.37,95.11,83.095,4224.25,83.333,3918.0,7.911,82.857,4530.5,1.393
108828,119.15,111.0,118.8,109.34,86.25,3939.625,87.5,3262.0,9.821,85.0,4617.25,1.321
109123,121.1665,113.8734,129.1086,126.0032,97.222,3202.5,100.0,3037.5,10.607,94.444,3367.5,3.107
109325,105.6195,88.74304,110.6675,97.06145,73.75,3316.625,75.0,2852.25,9.536,72.5,3781.0,1.321
109830,128.7907,124.5156,123.7174,121.8716,90.625,3217.625,100.0,2817.25,11.429,81.25,3618.0,3.107
110007,108.4767,93.16592,113.4609,101.9936,75.139,3526.75,87.5,3226.0,7.482,62.778,3827.5,3.036
110411,125.44,119.22,126.18,120.91,95.0,3566.125,100.0,3453.5,11.232,90.0,3678.75,3.107
