subjects,temporal
647858.L,NODE2071
415837.L,NODE2071
725751.L,NODE2071
510225.L,NODE2071
896778.L,NODE2071
449753.L,NODE2071
788876.L,NODE2071
877269.L,NODE2071
233326.L,NODE2071
352738.L,NODE2071
122822.L,NODE2071
753150.L,NODE2071
154330.L,NODE2071
214625.L,NODE2071
152225.L,NODE2071
397861.L,NODE2071
929464.L,NODE2071
180937.L,NODE2129
774663.L,NODE2129
198855.L,NODE2129
299154.L,NODE2129
177645.L,NODE2129
212419.L,NODE2129
248238.L,NODE2129
368753.L,NODE2129
193441.L,NODE2129
209531.L,NODE2129
102715.L,NODE2131
128632.L,NODE2131
965771.L,NODE2131
571144.R,NODE2131
965771.R,NODE2131
406432.L,NODE2131
406432.R,NODE2131
116423.L,NODE2139
155635.L,NODE2139
910241.L,NODE2139
151526.L,NODE2139
196952.L,NODE2139
172332.L,NODE2139
770352.L,NODE2139
615441.L,NODE2139
709551.L,NODE2139
584355.L,NODE2139
742549.L,NODE2139
127327.L,NODE2139
727553.L,NODE2139
161731.L,NODE2139
274542.L,NODE2139
208630.L,NODE2139
170631.L,NODE2139
523032.L,NODE2139
148436.L,NODE2139
341834.L,NODE2139
112314.L,NODE2139
686969.L,NODE2139
128026.R,NODE2142
368551.R,NODE2142
183741.R,NODE2142
164939.R,NODE2142
583858.R,NODE2142
128026.L,NODE2142
763557.R,NODE2142
989987.R,NODE2142
695768.R,NODE2142
161731.R,NODE2142
820745.R,NODE2142
195950.R,NODE2142
248339.R,NODE2142
576255.R,NODE2142
154835.L,NODE2142
154835.R,NODE2142
598568.R,NODE2142
108828.R,NODE2142
157336.R,NODE2142
917558.L,NODE2142
144832.R,NODE2142
299760.R,NODE2142
351938.R,NODE2142
101915.L,NODE2142
138130.R,NODE2142
287248.R,NODE2142
660951.R,NODE2142
422632.R,NODE2142
917558.R,NODE2142
199150.R,NODE2142
552241.R,NODE2142
185442.R,NODE2142
118932.L,NODE2142
187850.L,NODE2142
558960.R,NODE2142
654350.R,NODE2142
995174.R,NODE2142
751348.R,NODE2142
192843.L,NODE2142
192843.R,NODE2142
211417.L,NODE2153
193239.L,NODE2153
657659.L,NODE2153
656657.L,NODE2153
973770.L,NODE2153
211114.L,NODE2153
268850.L,NODE2153
346945.R,NODE2153
100206.L,NODE2153
134829.L,NODE2153
137229.L,NODE2153
118124.L,NODE2153
144933.L,NODE2153
172130.L,NODE2153
304020.L,NODE2153
179245.L,NODE2153
713239.L,NODE2153
164131.L,NODE2153
181131.L,NODE2153
159441.L,NODE2153
103818.L,NODE2153
849264.L,NODE2153
210617.L,NODE2153
153429.L,NODE2153
692964.L,NODE2153
127832.L,NODE2153
818859.L,NODE2153
111211.L,NODE2153
131419.L,NODE2153
197651.L,NODE2153
108121.L,NODE2153
197651.R,NODE2153
930449.L,NODE2153
111312.L,NODE2153
175237.L,NODE2153
169343.L,NODE2156
837964.L,NODE2156
115219.L,NODE2156
552241.L,NODE2156
149741.L,NODE2156
239944.L,NODE2156
