Subject,L,R
100206,NODE2153,NODE2160
100307,NODE2164,NODE2168
100408,NODE2183,NODE2173
100610,NODE2174,NODE2180
101006,NODE2164,NODE2164
101107,NODE2159,NODE2168
101309,NODE2182,NODE2172
101410,NODE2182,NODE2168
101915,NODE2142,NODE2168
102008,NODE2164,NODE2168
102109,NODE2180,NODE2166
102311,NODE2181,NODE2164
102513,NODE2184,NODE2168
102614,NODE2181,NODE2177
102715,NODE2131,NODE2177
103010,NODE2182,NODE2168
103111,NODE2180,NODE2177
103212,NODE2181,NODE2180
103414,NODE2173,NODE2180
103515,NODE2164,NODE2177
103818,NODE2153,NODE2180
104012,NODE2184,NODE2184
104416,NODE2176,NODE2162
104820,NODE2184,NODE2173
105014,NODE2173,NODE2168
105115,NODE2172,NODE2162
105216,NODE2184,NODE2180
105620,NODE2163,NODE2173
105923,NODE2181,NODE2162
106016,NODE2172,NODE2184
106319,NODE2184,NODE2178
106521,NODE2184,NODE2184
106824,NODE2164,NODE2160
107018,NODE2172,NODE2184
107220,NODE2172,NODE2184
107321,NODE2184,NODE2180
107422,NODE2180,NODE2173
107725,NODE2172,NODE2184
108020,NODE2164,NODE2177
108121,NODE2153,NODE2184
108222,NODE2162,NODE2166
108323,NODE2179,NODE2172
108525,NODE2164,NODE2177
108828,NODE2162,NODE2142
109123,NODE2159,NODE2168
109325,NODE2179,NODE2180
109830,NODE2164,NODE2162
110007,NODE2184,NODE2184
110411,NODE2160,NODE2180
110613,NODE2160,NODE2162
111009,NODE2168,NODE2168
111211,NODE2153,NODE2180
111312,NODE2153,NODE2184
111413,NODE2164,NODE2181
111514,NODE2156,NODE2176
111716,NODE2172,NODE2173
112112,NODE2164,NODE2173
112314,NODE2139,NODE2180
112819,NODE2176,NODE2172
112920,NODE2162,NODE2166
113215,NODE2173,NODE2184
113316,NODE2183,NODE2180
113417,NODE2172,NODE2180
113619,NODE2173,NODE2162
113821,NODE2164,NODE2173
113922,NODE2159,NODE2180
114116,NODE2173,NODE2172
114217,NODE2164,NODE2168
114318,NODE2168,NODE2180
114419,NODE2173,NODE2168
114621,NODE2160,NODE2162
114823,NODE2174,NODE2162
114924,NODE2164,NODE2173
115017,NODE2164,NODE2162
115219,NODE2156,NODE2162
115320,NODE2179,NODE2172
115724,NODE2181,NODE2168
115825,NODE2168,NODE2184
116120,NODE2169,NODE2180
116221,NODE2181,NODE2168
116423,NODE2139,NODE2184
116524,NODE2181,NODE2180
116726,NODE2180,NODE2166
117021,NODE2162,NODE2184
117122,NODE2184,NODE2180
117324,NODE2177,NODE2177
117728,NODE2172,NODE2162
117930,NODE2172,NODE2180
118023,NODE2184,NODE2184
118124,NODE2153,NODE2184
118225,NODE2176,NODE2162
118528,NODE2177,NODE2177
118730,NODE2162,NODE2168
118831,NODE2164,NODE2180
118932,NODE2142,NODE2180
119025,NODE2183,NODE2168
119126,NODE2180,NODE2180
119732,NODE2164,NODE2166
119833,NODE2172,NODE2177
120010,NODE2169,NODE2180
120111,NODE2156,NODE2172
120212,NODE2164,NODE2162
120414,NODE2180,NODE2180
120515,NODE2164,NODE2172
120717,NODE2164,NODE2180
121315,NODE2180,NODE2180
121416,NODE2173,NODE2162
121618,NODE2172,NODE2166
121719,NODE2176,NODE2173
121820,NODE2184,NODE2184
121921,NODE2162,NODE2178
122317,NODE2163,NODE2178
122418,NODE2184,NODE2166
122620,NODE2174,NODE2168
122822,NODE2071,NODE2173
123117,NODE2184,NODE2168
123420,NODE2176,NODE2180
123521,NODE2172,NODE2162
123723,NODE2172,NODE2172
123925,NODE2180,NODE2180
124220,NODE2180,NODE2178
124422,NODE2173,NODE2173
124624,NODE2179,NODE2180
124826,NODE2159,NODE2180
125222,NODE2173,NODE2178
125424,NODE2159,NODE2180
125525,NODE2184,NODE2184
126325,NODE2180,NODE2168
126426,NODE2179,NODE2180
126628,NODE2164,NODE2180
126931,NODE2184,NODE2177
127327,NODE2139,NODE2162
127630,NODE2168,NODE2173
127731,NODE2173,NODE2184
127832,NODE2153,NODE2168
127933,NODE2179,NODE2162
128026,NODE2142,NODE2142
128127,NODE2173,NODE2173
128329,NODE2159,NODE2159
128632,NODE2131,NODE2177
128935,NODE2179,NODE2180
129028,NODE2173,NODE2168
129129,NODE2177,NODE2173
129331,NODE2180,NODE2173
129432,NODE2169,NODE2180
129533,NODE2181,NODE2180
129634,NODE2168,NODE2166
129937,NODE2180,NODE2180
130013,NODE2173,NODE2180
130114,NODE2180,NODE2166
130316,NODE2168,NODE2180
130417,NODE2182,NODE2180
130518,NODE2173,NODE2172
130619,NODE2164,NODE2184
130720,NODE2184,NODE2178
130821,NODE2184,NODE2173
130922,NODE2177,NODE2173
131217,NODE2177,NODE2180
131419,NODE2153,NODE2168
131621,NODE2164,NODE2180
131722,NODE2173,NODE2166
131823,NODE2182,NODE2178
131924,NODE2173,NODE2168
132017,NODE2174,NODE2180
132118,NODE2163,NODE2168
133019,NODE2179,NODE2184
133625,NODE2180,NODE2168
133827,NODE2183,NODE2162
133928,NODE2159,NODE2172
134021,NODE2180,NODE2184
134223,NODE2172,NODE2184
134324,NODE2179,NODE2177
134425,NODE2179,NODE2168
134627,NODE2174,NODE2178
134728,NODE2179,NODE2184
134829,NODE2153,NODE2180
135124,NODE2164,NODE2172
135225,NODE2180,NODE2166
135528,NODE2176,NODE2177
135629,NODE2166,NODE2184
135730,NODE2168,NODE2172
135932,NODE2184,NODE2166
136227,NODE2168,NODE2168
136631,NODE2180,NODE2166
136732,NODE2172,NODE2184
136833,NODE2182,NODE2180
137027,NODE2176,NODE2173
137128,NODE2184,NODE2168
137229,NODE2153,NODE2172
137431,NODE2164,NODE2180
137532,NODE2180,NODE2180
137633,NODE2164,NODE2180
137936,NODE2172,NODE2172
138130,NODE2173,NODE2142
138231,NODE2177,NODE2162
138332,NODE2164,NODE2180
138534,NODE2166,NODE2168
138837,NODE2164,NODE2162
139233,NODE2180,NODE2180
139435,NODE2176,NODE2168
139637,NODE2176,NODE2166
139839,NODE2179,NODE2159
140117,NODE2181,NODE2168
140319,NODE2182,NODE2173
140420,NODE2181,NODE2181
140824,NODE2174,NODE2180
140925,NODE2173,NODE2180
141119,NODE2183,NODE2177
141422,NODE2183,NODE2180
141826,NODE2168,NODE2184
142424,NODE2173,NODE2184
142828,NODE2164,NODE2168
143224,NODE2160,NODE2162
143325,NODE2177,NODE2180
143426,NODE2169,NODE2184
143527,NODE2184,NODE2180
143830,NODE2184,NODE2166
144125,NODE2164,NODE2180
144226,NODE2182,NODE2180
144428,NODE2160,NODE2168
144731,NODE2184,NODE2184
144832,NODE2184,NODE2142
144933,NODE2153,NODE2180
145127,NODE2168,NODE2184
145531,NODE2163,NODE2168
145632,NODE2163,NODE2166
145834,NODE2164,NODE2180
146129,NODE2173,NODE2168
146331,NODE2172,NODE2172
146432,NODE2181,NODE2172
146533,NODE2180,NODE2180
146634,NODE2176,NODE2172
146735,NODE2180,NODE2180
146836,NODE2184,NODE2166
146937,NODE2184,NODE2180
147030,NODE2173,NODE2177
147636,NODE2177,NODE2177
147737,NODE2173,NODE2162
148032,NODE2162,NODE2162
148133,NODE2169,NODE2162
148335,NODE2164,NODE2180
148436,NODE2139,NODE2184
148840,NODE2179,NODE2166
148941,NODE2172,NODE2172
149236,NODE2169,NODE2180
149337,NODE2176,NODE2180
149539,NODE2173,NODE2184
149741,NODE2156,NODE2180
149842,NODE2181,NODE2168
150019,NODE2172,NODE2162
150423,NODE2172,NODE2184
150524,NODE2173,NODE2180
150625,NODE2182,NODE2178
150726,NODE2176,NODE2168
150928,NODE2176,NODE2169
151021,NODE2168,NODE2173
151223,NODE2168,NODE2168
151324,NODE2176,NODE2168
151425,NODE2164,NODE2180
151526,NODE2139,NODE2180
151627,NODE2180,NODE2180
151728,NODE2179,NODE2180
151829,NODE2164,NODE2162
151930,NODE2173,NODE2162
152225,NODE2071,NODE2172
152427,NODE2164,NODE2173
152831,NODE2180,NODE2168
153025,NODE2179,NODE2159
153126,NODE2177,NODE2184
153227,NODE2168,NODE2180
153429,NODE2153,NODE2177
153631,NODE2164,NODE2168
153732,NODE2172,NODE2180
153833,NODE2180,NODE2180
153934,NODE2175,NODE2184
154229,NODE2184,NODE2173
154330,NODE2071,NODE2159
154431,NODE2164,NODE2180
154532,NODE2176,NODE2166
154734,NODE2173,NODE2166
154835,NODE2142,NODE2142
154936,NODE2181,NODE2184
155231,NODE2162,NODE2166
155635,NODE2139,NODE2177
155938,NODE2182,NODE2166
156031,NODE2179,NODE2168
156233,NODE2172,NODE2180
156334,NODE2172,NODE2180
156435,NODE2183,NODE2177
156536,NODE2170,NODE2159
156637,NODE2176,NODE2168
157336,NODE2177,NODE2142
157437,NODE2175,NODE2180
157942,NODE2182,NODE2166
158035,NODE2160,NODE2168
158136,NODE2173,NODE2166
158338,NODE2164,NODE2168
158540,NODE2164,NODE2177
158843,NODE2176,NODE2180
159138,NODE2159,NODE2180
159239,NODE2164,NODE2180
159340,NODE2159,NODE2180
159441,NODE2153,NODE2172
159744,NODE2164,NODE2180
159845,NODE2168,NODE2180
159946,NODE2184,NODE2180
160123,NODE2180,NODE2168
160729,NODE2180,NODE2180
160830,NODE2181,NODE2156
160931,NODE2164,NODE2171
161327,NODE2172,NODE2166
161630,NODE2183,NODE2173
161731,NODE2139,NODE2142
161832,NODE2164,NODE2178
162026,NODE2164,NODE2168
162228,NODE2183,NODE2178
162329,NODE2164,NODE2184
162733,NODE2172,NODE2184
162935,NODE2173,NODE2180
163129,NODE2177,NODE2180
163331,NODE2159,NODE2180
163432,NODE2160,NODE2173
163836,NODE2172,NODE2172
164030,NODE2182,NODE2173
164131,NODE2153,NODE2180
164636,NODE2180,NODE2180
164939,NODE2172,NODE2142
165032,NODE2159,NODE2162
165234,NODE2172,NODE2168
165436,NODE2184,NODE2166
165638,NODE2163,NODE2184
165840,NODE2173,NODE2162
165941,NODE2173,NODE2162
166438,NODE2172,NODE2184
166640,NODE2182,NODE2180
167036,NODE2164,NODE2173
167238,NODE2182,NODE2180
167440,NODE2173,NODE2168
167743,NODE2177,NODE2168
168038,NODE2172,NODE2168
168139,NODE2174,NODE2180
168240,NODE2181,NODE2184
168341,NODE2168,NODE2173
168745,NODE2164,NODE2184
168947,NODE2172,NODE2180
169040,NODE2177,NODE2166
169141,NODE2182,NODE2168
169343,NODE2156,NODE2168
169444,NODE2172,NODE2168
169747,NODE2168,NODE2177
169949,NODE2174,NODE2178
170631,NODE2139,NODE2180
170934,NODE2177,NODE2177
171128,NODE2172,NODE2164
171330,NODE2183,NODE2168
171431,NODE2180,NODE2180
171532,NODE2164,NODE2172
171633,NODE2181,NODE2160
171734,NODE2172,NODE2180
172029,NODE2172,NODE2166
172130,NODE2153,NODE2177
172332,NODE2139,NODE2184
172433,NODE2164,NODE2168
172534,NODE2164,NODE2173
172635,NODE2172,NODE2177
172938,NODE2164,NODE2168
173132,NODE2172,NODE2180
173233,NODE2164,NODE2177
173334,NODE2183,NODE2160
173435,NODE2172,NODE2166
173536,NODE2164,NODE2168
173637,NODE2180,NODE2172
173738,NODE2172,NODE2180
173839,NODE2184,NODE2162
173940,NODE2164,NODE2180
174437,NODE2164,NODE2164
174841,NODE2175,NODE2166
175035,NODE2180,NODE2180
175136,NODE2172,NODE2180
175237,NODE2153,NODE2168
175338,NODE2163,NODE2178
175439,NODE2179,NODE2180
175540,NODE2159,NODE2173
175742,NODE2159,NODE2164
176037,NODE2164,NODE2162
176239,NODE2173,NODE2177
176441,NODE2179,NODE2180
176542,NODE2168,NODE2168
176744,NODE2176,NODE2168
177140,NODE2180,NODE2184
177241,NODE2180,NODE2168
177342,NODE2180,NODE2162
177645,NODE2129,NODE2166
177746,NODE2169,NODE2173
178142,NODE2172,NODE2180
178243,NODE2168,NODE2168
178647,NODE2169,NODE2180
178748,NODE2163,NODE2173
178849,NODE2164,NODE2180
178950,NODE2170,NODE2180
179245,NODE2153,NODE2172
179346,NODE2176,NODE2180
179548,NODE2172,NODE2177
179952,NODE2164,NODE2177
180129,NODE2181,NODE2168
180230,NODE2180,NODE2166
180432,NODE2184,NODE2180
180533,NODE2181,NODE2180
180735,NODE2173,NODE2173
180836,NODE2164,NODE2164
180937,NODE2129,NODE2172
181131,NODE2153,NODE2168
181232,NODE2180,NODE2166
181636,NODE2159,NODE2173
182032,NODE2181,NODE2168
182436,NODE2184,NODE2166
182739,NODE2159,NODE2180
182840,NODE2177,NODE2184
183034,NODE2164,NODE2180
183337,NODE2172,NODE2184
183741,NODE2177,NODE2142
185038,NODE2179,NODE2181
185139,NODE2164,NODE2168
185341,NODE2181,NODE2168
185442,NODE2173,NODE2142
185846,NODE2171,NODE2178
185947,NODE2164,NODE2184
186040,NODE2180,NODE2180
186141,NODE2181,NODE2184
186444,NODE2169,NODE2159
186545,NODE2182,NODE2162
186848,NODE2172,NODE2164
186949,NODE2173,NODE2184
187143,NODE2174,NODE2172
187345,NODE2180,NODE2162
187547,NODE2173,NODE2184
187850,NODE2142,NODE2162
188145,NODE2180,NODE2177
188347,NODE2164,NODE2184
188448,NODE2177,NODE2180
188549,NODE2164,NODE2160
188751,NODE2180,NODE2180
189349,NODE2170,NODE2184
189450,NODE2172,NODE2184
190031,NODE2169,NODE2180
190132,NODE2173,NODE2173
191033,NODE2172,NODE2180
191235,NODE2181,NODE2168
191336,NODE2182,NODE2166
191437,NODE2168,NODE2180
191841,NODE2164,NODE2162
191942,NODE2164,NODE2180
192035,NODE2172,NODE2177
192136,NODE2164,NODE2177
192237,NODE2166,NODE2166
192439,NODE2164,NODE2184
192540,NODE2180,NODE2180
192641,NODE2180,NODE2180
192843,NODE2142,NODE2142
